Content,company
apple tarafından yılın uygulaması seçilmiştir,apple
facebook bu ağı kendine entegre edicek ha gerek var mıydı bunca paraya bence hayır,facebook
facebookun satın almasıyla şüphesiz eskisinden daha popüler bir hale gelecek yalnız eski kalitesini de bir daha kazanamayacak olan site yazılım,facebook
facebook tarafından 1 milyar dolara satın alınan sayısal olarak bu kadar kullanıcısı olan ilk mobil uygulama ve geliştirici firmadır,facebook
googleın digg kurucusu efsane başgan kevin roseu ve kreatif ekibini transfer edip google servisine entegre etmesine misilleme olarak gerçekleştirilmiş olabilirayrıca kabul edelim ki facebookun bugüne kadar en çok şikayet aldığı konuların başında fotoğraf paylaşımları geliyordu hele tumblr instagram ve son olarak pinterest ile sosyal ağlarda görsel paylaşımı çok daha pratik ve etkili bir hale getirilmişken pinterestin diğer sosyal ağlardan çok daha fazla ürün ve satıcı sitelerine trafik sağladığı haberleri yayılmışken facebookun 35 şiddetinde dipten sarsılması ve cağnım reklamlarını yeni yetme ağlara kaptırma korkusuyla böyle bir yatırım yapması zaten bekleniyordufacebook çok başarılı bir alım yaptı bence instagram kendi başına 1 milyar dolar etmeyebilir ancak facebooka hitlerinin ve reklamlarının önemli bir kısmını kazandıran fotoğraf paylaşım sisteminin geliştirilmesi ve güçlendirilmesi hiç değilse milyonlarca instagram kullanıcısının facebooka resmi olarak entegrasyonu sosyal medya çağında 1 milyar doları rahat görür,instagram
google ın içinde creative kit adıyla çok daha gelişmiş bir versiyonu vardır,google
android versiyonu ciktiktan sonra mi yoksa facebook aldiktan sonra mi bilinmez sacmalamaya baslamistir olm duzgun calisan bir seyi de bozmayin ya,facebook
gelir getirmeyen bir uygulamanın o uygulamadaki kullanıcıların hali hazırda kendi kullanıcıları olan başka bir platform tarafından satın alınması akla sadece rekabeti önlemek için yapılan bir satın alma tezini getiriyor instagramın yazılımsal olarak sunduğu hiç bir yenilik yok halbuki facebook developerları 2 gün otursalar o filtreleri facebooka implemente ederler iphone uygulamasına da eklerler netice olarak yine benzer bir yola gidilecek belki ama bunun için 1 milyar dolar harcanıyorsabkz arap yağı bol buldu mu kıçına başına sürermişbkz zenginin malı züğürdün çenesini yorarmış,facebook
ekiplerinin facebook binasina giris fotolari rehin alinmislar hissiyati veriyor,facebook
kendi adima konusuyorum instagram denilen application i cok seviyorum tum dunyada da baya populer oldu mainstream oldu evet hatta yeni bir lomography akimina donusecegine inaniyorum onumuzdeki bes on yil icerisinde neden mi birincisi bizim yillardir analog makinelerle fotosoplarla paintlerle vermeye calistigimiz efektleri tek bir ekrana dokunarak veriyor mu bu icat arkadasim veriyor analog cekim surecindeki o heyecan o arap film kokusu rerero diyenlere bi lafim var bu instagram dan nefret etmeniz icin bir sebep degil adamlar bi is yapiyorlar ve bunu guzel yapiyorlar hatta sadece bunu dusunmus olmalari bile saygiyi ve takdiri hak ediyor benim gozumde dijital bir cagdayiz vintagelik da cok severek  ailecek takip ettigimiz bir sey ama sirf dijital diye boylesi bir olayi yerin dibine sokmak yersiz ikincisi ucretsiz olmasi bizim lomo dediginiz diana dedigimiz aletler artik hayyam pasajini asindiran hipsterlar fotograf meraklilari vb genclerimiz yuzunden normal degerinin iki uc kati fiyata satiliyor ayrica o makinelere gidip kodak 100 film koyarsan kutusu 3 liraya istedigin dokuyu da elde edemezsin canim kardesim ilford xp kullanacaksin ki kutusu en son iki sene once 14 liraydi istedigin gibi renkleri patlamis kenarlari kararmis bir fotograf elde edesin ha bir de analog cekimler sonucunda ortaya cikan fotograflardan yuzde 25 i ise yarar fotograflar olup gerisi cop niteligindedir bunu ben degil ara guler soyluyor annem hadi bakalim devam edelim hala demiyorum ki analog makinelere gerek yok silinsin bitsin gitsinler bu dunyadan leave instegraaym eloonnn demiyorum bunu ikisinin de yeri ayridir canim kardesim instagram hizli sonuc uretir cagimiza daha uygundur hizlidir hemen paylasirsin hemen gonderirsin fast food gibidir dukkan burger hamburgeri gibidir lezizdir ama analog makineler evde annenin once elleriyle yogurup sonra saatlerce ocagin basinda dinelip kizarttigi kofteler gibidir emek ister retrodur nostaljiktir bos vaktin oldugunda evde saatlerce ugrasabildigin bir sanattir analog fotograf cekmek hele ki banyosuyla taratmasiyla da kendin ugrasiyorsan gozumde atom muhendisi kadar yeteneklisindir sen banyo arti tarama isini ben kendim yapmadim hic ama bir fotografciya gidip bunu yaptirmak da film rulosu basina 20 liraya mal oluyordu ve dedigim gibi cikan fotograflarin cogu dijitaldeki gibi begenmeynce sil yenisini cek mantiginda olamadigi icin rulonun buyuk kismini cope atmis oluyordum  vintage olmak emek ister bebegim sevgi neydi sevgi emekti retroluk hipsterlik zaman ister para ister sokaklarda film alip tab ettirmek ister tiki olmak kadar kolay degil cakmasi yok bu hobilerin mesela simdi karsi apartmandaki bi cocuk ergen sesiyle adele rolling in the deep  i soyluyor kafami camdan sarkitip  sus lan birak da adele soylesin demek yerine aferim lan en azindan sozleri dogru soyluyor diyorum icimden bu kardesimize yani instagram dan sirf mainstream oldugu icin ve sevmediginiz insanlar bu application sayesinde cok guzel fotograflar cektigi icin nefret ediyorsaniz yanlis yapiyorsunuz derim ha tabii hayatin her alaninda oldugu gibi bunun da bokunu cikaran tek bir fotografin altinda 88 tane tag koyup nihai amaci gunde 590 like alip popular page e cikmak isteyem andavallar yok mu ard arda icinde 1234 fotografin oldugu albumleri ayni gunde olusturup home page imizi igfal eden arkadaslarimiz yok mu facebook da twitter da uc saniyede bir tweet atanlar foursquare de ben de bazen dahil olmak uzere gordugu her place de checkin verenlerimiz yok mu var hepimizin sosyal medyayi kullanma sıklıgı ve miktari zaman zaman degisebiliyor su tek amaci popular page olan ve cilginca hashtag koyan beybilere gelirsek bu adam sanma ki gunluk hayatinda inanilmaz entellektuel ve hayatin anlamini cozmus sadece felseffe konusuyor otobuse binince onundeki kizi fortlamiyor kizsa eger  uff snn be slk diye konusmuyor bi yandan sakizini cignerken bu verdigin uc ornekler instagramin bir sonucu degil o insanlarin sucu minnosum facebook da acildigi gunden beri amele kayniyor senin mantiginla yaklasirsak ofkeni dogru kaynaga yonlendirirsen instagram a vurmaktan vazgececeksin eminim egitim sistemine aile toplum yapisina bati dogu sentezine biraz kafa yor derim ben instagram sadece bir application ve gayet de basarili bir application bence,instagram
kullanicilarinin yarisindan fazlasinin instagram kariyerleri boyunca toplamda 5ten az resim upload ettigi ep en fazla followerin kadar like alabiliyosun hikayesinin kurbanidir bu insanlar heralde kullanicilarin yaklasik 5 kadari 50den fazla resim upload etmisti yamulmuyorsambkz we are the 99 percent,instagram
eskiden facebook için fotoğraf arayışında olan bünyeler artık bu mecra için iş başında,facebook
su an erisilememesinin nedeni ttnet in dns serverlarinin sacmalamasidir adam gibi dns serverlar kullanarak sorunu asmak mumkun,ttnet
ya instagram çökerse,instagram
