Content,Sentiment
evet anlatıldığı gibi,1
Daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,1
Ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.Hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,1
Daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,1
Erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,1
ürün gerçekten çok güzel,1
Ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,1
güzel makina tavsiye ederim,1
tavsiye edebileceğim çok güzel bir makina,1
"ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.",1
Ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. Allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? ASLA,0
denedim ürün çok güzel herkese tavsiye ederim,1
ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,1
Ürün hala elime geçmedi,0
Bir kere kullandım memnun kaldım,1
35 TL ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,1
Ürün çalışıyor şimdilik,2
tam istedigim gbi orjinal,1
"Ürün, kullanım açısından kolay. Yanında 1mm 2mm 3mm başlıkları ile geliyor. Sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.",1
hiç dusunmeden alın derim jilet gibi kesiyor,1
Ürün anlatıldığı gibi Hızlı kargo,1
"ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.",1
baya iyi çok memnun kaldım,1
Ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,1
"güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler",1
"Aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.",1
"İlk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider Allah bilir. Bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, Sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....",1
"Sakal için ideal, saç için kullanmıyorum. Philips makinalar para tuzağı.",1
Ürün güzel beğendim,1
Merhabalar ürün anlatıldığı gibi geldi.Eksiksiz ve gayet şık.Daha kullanmadim.Ancak almadan önce arastirmistim.Ona göre sipariş verdim.,1
ürün fiyatina gore guzel bekledigimden guzel ??,1
hızlı ve özenli kargo teşekkürler.,1
urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,0
urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,1
Ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,1
Ürünler kaliteli teşekkürler,1
Çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,1
Ürün şık ve kullanışlı,1
urun cok guzel siddetle tavsiye ederim 2 adet aldim,1
güzel ürün tavsiye ederim,1
Makine gayet iyi memnun kaldım fakat şarj unitesi çalışmıyordu iade etmekle uğraşmak istemedim usb ile şarj olabiliyor ??,2
ÜRÜN GAYET KULLANIŞLI UMARIM UZUN ÖMÜRLÜ OLUR TEŞEKKÜRLER,1
bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,1
hızlı satıcı problem yok,1
"Birçok traş makinesi kullandım. Gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. Ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :",1
Olay budur. Boş yere diğer markalara para vermeyin. Tıraş sadece 2 dk sürdü. Oldukça sessiz.,1
Ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,1
Makine oldukça kaliteli. Sakal için rahatlıkla kullanıyorum. Tavsiye ederim.,1
hasarlı gelgi geri yolladım kullanmadık,0
"Ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. Ama beklentiniz yüksek olmasın. Hem saç hem sakal traşı için kullanıldı. Ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.",0
Ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,0
Fiyat performans ürünü,1
efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,1
"Ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. Gayet başarılı. Fiyatta uygun. Şuan için güzel. Gelecekte ne olur bilemem. Fiyata göre çok iyi.",1
ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,1
Gayet guzel goruntulu ve kaliteli urun.,1
philipsin tras makinesini kullanıyordum. Bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,1
103 liraya alincaj gzl kibar makina her ise yarar. Sac kesme harici her ise yarar sakal vs,1
süper kesiyor harika bı makina,1
"Ürünü sorunsuz teslim aldım. Sipariş vermeden önce mağaza ile ilgili olumsuz yorumlar korkutmuştu ama sorunsuz bir alışveriş oldu benim için. Makinenin bıçakları çok güçlü. Çekme, koparma yok. Fiyatına göre çok güzel bir makine. Mağaza faturayı mailime atmıştı. Teşekkürler.",1
İlk defa bir ürüne yorum yapıyorum ürün beklediğimden harika çıktı hiç düşünmeden alabilirsiniz,1
2 yıldır kullanıyorum yedek olsun diye aldım isyerime,1
ÜRÜN ÇOK KULLANIŞLI VE KALİTELİ TEŞEKKÜRLER.,1
"Daha oncede powertec kullanan biri olarak soylemeliyim ki, bu model bi efsane beylerr",1
??????????????????????,1
ürün çok şık fakat içi boş bir ürün. biraz daha bütçe zorlayıp iyi bir makine almanızı tavsiye ederim. sıfırı çok kötü,0
Ürün gelmedi ki beğenelim,0
emsallerine göre fiyatı düşük olunca bi çekinceyle aldım ama gerçekten kaliteli ve kullanışlı. 5 yıldızı sonuna kdar hakediyor. mağaza hızı da cok iyi,1
ürünü henüz kullanmadım deneyince göreceğiz,2
iyi ürün teşekkürler parasına göre iyi ürün umarım çabuk bozulmaz,1
Ürün güzel bu paraya bu kalite performans ama makine ilk. Geldiginde kendi yüzümde denedim kuaförüm diş çiziyordu ayarladım ürün parasına göre çok iyi güçlü,1
Güzel ve kaliteli ürün tavsiye ederim,1
ürün parasına göre çok iyi,1
Evet çok güzel bir makina,1
Eşime aldım. Çok beğendi. Saçını da sakalını da şekillendiriyor. Gayet kullanışlı,1
Ürün başarılı tafsiye ederim,1
Güzel ürün tavsiye ederim,1
Beğendim ama daha uzun kesebilen tarak seçenekleri de olmalıydı,2
teşekkürler güvenilir mağaza,1
Güzel ürün Harika satıcı,1
ürün güzel fiyatı da uygun fakat garanti belgesi doldurulmamis,2
daha tam olarak kullanmadım ancak beklediğim gibi,1
"Hızlı kargo, kaliteli ürün. Kedi ve köpek traşı için aldım. Kıt olan yerleri T uç sayesinde daha kolay kesebiliyorum.",1
"Philips kullanıyordum, tarağı kırıldı, yeni tarak fiyatı bu ürünün 1,5 katı. Yorumlar olumlu diye aldım, fiyat performans ürünü. Titreşimi philipse göre yüksek, ilk izlenimim kuruda daha iyi gibi. Bıçağın temizliği için tornavida ile açmak gerekiyor pratik değil.",2
guzel hic bir sorunu yok,1
kaliteli kesinlikle tavsiye ederim,1
Urun tamamen fiyat performans urunu. Piyasada daha iyi oldugunu sanmam. Highly recommended!!,1
Ürün gerçekten harika kuoförümde gördüm ve tafsiyesi üzerine aldım.kullandım harika ve KUSURSUZ.??,1
powertec bildiğim ve kullandığım marka bu seferki aldığım makine kutu içeriğinde 2 nolu tarak kırık geldi mağazaya konuyu ilettim fakat dönüş saglanmadi powertec süper makine ama satıcı sorumsuz,2
makine güzel kullanışlı,1
Ürün güzel ürün hakkında bir şikayetim yok,1
ürün anlatıldığı gibi. teşekkür ederim.,1
Berberimin tavsiyesi ile aldım çok beğendim tavsiye ederim bundan evvel aldıklarımın çok üstünde bir makina,1
evet çok beğendim,1
"Ne yalan söyleyeyim, bu kadar iyi bekle miyordum.",1
Cok guzel kullandim. Bu fiyata alınabilecek en iyilerden. Bilader e de sipariş verecem.,1
Ürün yaklaşık 20 saatte elime ulaştı. Beklediğimden daha pratik ve daha güçlü çıktı. Tam bir fiyat performans ürünü.,1
üründeki 3mm tarağı bildiğimiz 3 numaralı traş diye aldım. meğer 0 ile 1 arasında bişeymiş. bir defa neme kesimi yaptığım için iade yada değişim olmuyormuş. boşa almış oldum çöpe para attık.,0
Bana göre süper üç adet aldım,1
Ürünü begendim ve teşekkür ederim,1
ürünü beğendim. 3 taraklı çok kaba olmayan bir alet. sadece kutusu ezik büzük çıktı dışında bir problem yok,2
evet beğendim güzel,1
Evet harıka ürün sıfır sakal taşı yapıyo,1
Hayır beğenmedim,0
Başarılı makine düşünmeden alınabilir,1
n11.com üyesi 01.10.2020 Bozuk ve dezenforme olmuş ürün geldi ve iade alınmadı Bu arkadaşın yaşadıklarını aynısını bende yaşadım ve aynı şekilde sonucladı tek farkı bana BERBER mısın dıye sorulması ıdı MUMKUNSE BU FIRMADAN alışveriş YAPMAYIN muhakkak ayı olayı sizde yaşayacaksınız bu konuda eminim,0
kullanışlı memnun Kaldım,1
Ürün bi moser değil ama fiyata göre fena değil,2
Hayır b3?enmedim .Rezillik,0
Çok seri bir cihaz. Fiyatına göre çok iyi,1
Evet şık tasarım ve tatminkâr markayı zaten biliyordum saç tıraşı Makinesi vardı zaten ince dişte powertec tr658 ile tamamlandı tavsiye ederim,1
"ürün çok güzel, temizlemesi gayet kolay, çok memnun kaldım",1
Aldığım ürün şarj almıyordu ve üzerinde dezenformasyon vardı. Ona rağmen açıldığını bahane ederek iade almadılar ve teknik servise yönlendirdiler. Yeni alınmış bir ürün çalışmadığında ve üstüne üstlük üründe dezenformasyon olmasına rağmen niye teknik servise gitmekle uğraşıyorum anlamadım. Gönderdiğim ürünü de kabul almayıp tekrar bana gönderdiler ve kargo ücretini ben ödemek durumunda kaldım. N11 sağolsun itiraz ettiğimde aynı miktarda kupon vererek zararımı kapattı.,0
Güzel ürün düşünmeden alın,1
urunu kullanmadim ama elime ulasti cok guzel gozukuyor . urun Orta boydadir.,1
iki günde elime ulaştı teşekkür ederim.. kullanmadım umarım istediğim gibi çıkar,2
Ürünü çok beğendim,1
İdare eder...,2
Fiyatına göre oldukça güzel bir ürün. Kesinlikle tavsiye ediyorum. Paketleme ve kargo iyiydi.,1
Gramajı ağırlığı kaliteli duruyor ..memnun kaldım ..işimi gayet güzel görüyor ...,1
çok güzel birebir aynı ürün güçlü motoru var dükkanım için aldım gayet güzel ve sağlam bir ürün,1
Ben ürünü traş olduğum berberde görüp almıştım. Gayet sağlam ve kaliteli gibi duruyor. Fiyatına göre çok iyi olduğunu söyleyebilirim,1
kullandigim üründü 3 arkadaşıma daha aldım herkez memnun tesekkurler,1
"Samsung şarj cihazı bile oluyor, hem kablolu hem kablosuz jilet gibi, oldukça güzel ve güçlü.",1
Parasını hak eden ürün. Fiyat performans harika,1
Ürünü daha öncede kullandım sert sakallar için birebir uyumlu ve güzel,1
Ürün güzel tavsiye ederim,1
fiyat performans kıstasına göre gönül rahatlığıyla alabilirsiniz.,1
Ürün hakkını fazlasıyla veriyor. İnce işler için süper bir makina,1
Gerçekten ürün çok kaliteli... Almak isteyenlere tavsiye ederim.,1
Gönül rahatlığıyla alın kullanın,1
ürün güzel kullanışlı beğendim geldiği gibi kullandım,1
