text,predicted_sentiment,confidence_score
doların 18 liraya çıktığı gün bu gamepass de pahalanır diye tırsıp gittim live gold u ultimate e çevirme taktiğiyle 26 aylık gamepass ultimate ı 480 liraya aldım aylığı 185 tl ye geliyor yeni çıkan oyunlardan sadece forza horizon 5 ve halo infinite i steamden alsanız ikisi toplam 600tl ki daha bu 26 ay boyunca neler neler eklenecek sisteme starfield dahil hala bu gamepass in karlılığını sorgulayanlar var garipedit ayrıca başkasıyla kardeşlik yapıp bu fiyatı yarıya da indirebilirsiniz 240tl ye 2 yıl gamepass o da bi seçenek.,1,0.99831665
arkadaşlar taş gibi makina ama saç traşı için uygun deıl  sadece sakal ense kulak tuylerı için tasarlanmış bir makina kargom 2 gün içinde geldi teşekkürler,2,0.9834678
ilk dususte beyni gitti,0,0.9984523
Ürünü deneme imkanım olmadı ama dün gece verdiğim siparişin bugün elime geçmiş olması mükemmel ötesi Hepsiburadaya teşekkür ederim,2,0.9970957
çagri merkezi ölmüş sanirim gecen hafta 35 mbit internet abonesi oldum bi modem gondericeksiniz aq hala bekliyorum,1,0.99830085
3 senedir kullanıyorum ve buna benzemeyen yeni suurge ariyorum Haliya yapisiyor evet yapistigi icin supuremiyorsunuz zaten sert zrminde gorunurdekileri bile cekmiyor almayin firlatip atmak istiyorum ben,0,0.99834454
hiç iyi bir ürün diyil ben Azerbaycana sipariş etdim ürün arızalı geldi ayakkabının üzerinde kopmayan kley var hiçç hoşlamadım yazık oldu ödediyim paraya,0,0.9990557
Göründüğü gibi ama yükseklik ayarlanan yerin tutulacak yeri yoktu pakette çokta önemli değil,0,0.9898302
3 gün için şehir dışına çıkacağım için modemin de elektriğini kestim yangın şu bu olmasın diye hay kesmez olaydım eve geldik fişi tak internet nerdemh ara internet yok 3 gün oldu halen çözecekler hm arıyorsun telesekreter karşılıyor seni neymiş arıza kontrol edilme sürecinde mh darlamayalım diye böyle iş mi olur yahu okullar açılmış canlı ders şu bu derken her şey internetten yapılıyoredit tam bir hafta sonra internet geldi kullanmadığımız zamanlar için 17tl gibi bir indirim faturaya yansıttılar,1,0.9983228
defalarca alışveriş yapıp hiçbir sorun yaşamadığım firma vaat ettikleri günden bile önce gelen birçok ürünüm oldu ilk alışverişte bok atan arkadaşlara duyurulur,1,0.9983644
gerçekten çileden çıktım 6 gündür net yokmüşteri hizmetleriyle bile görüşemiyoruz arıza vardır düzeltilecektir deniliyor bilgisayar kaydı napsak tt netten başka bir alternatif var mı,1,0.9947454
bu kadar iyi yorum almasına şaştım doğrusu  başlık dendiği gibi kumaş değildi inceden bir kartondu bilsem kendim yaparim karton alıp bu nasıl bir malzeme anlamış değilim,0,0.9988171
Harika bir ürün  tam bir nostalji,2,0.99721634
44 numara almama rağmen biraz ufak geldi,0,0.9986419
teknolojik bir ürün alınmaya karar verildiğinde sadece tavan fiyat öğrenmek için bakılması gereken firma,1,0.998355
Ürün istediğim gibiydi,2,0.9970933
12 senelik türk telekom serüvenimin sonunda geçiş yaptım turknete fakat gel gör ki modem panelinde 16mbps gözüken internet olmasına rağmen pratikte 5mbps geçemiyorumindirme ve hız testleri her şeyi yapıyorum yok alınan hız 5 mbps hat değerleri gayet iyi modeme atanan hız 16mbps ki hattım vdsl destekleyen bir hat gördüğüm kadarı ile akn gibi modemde gözükmeyen bir limitleme koyuyorlar donanımhaberdede bu konu ile alâkalı çeşitli şikayetler bulunmakta yalnız değilimneyse kendilerine destek kaydı oluşturdum aradım bir kaç kere hız güncellemesi yaptık telefon görüşmesi ile teknik destek bana dönüş yapıyor hattınızda herhangi fiziksel bir problem yok modeminizi kontrol edin vse iyi de arkadaş daha aynı gün 16mbps aldığım telekom hattı aynı kablo aynı hizmet nasıl oluyorda size geçince hat değerleri 16mbps olmasına rağmen hızım 5e düşüyor aknye takılmış gibibilmiyorum 12 sene sonunda telekomu bıraktığım için seviniyor gibiydim fakat bu sorunumu çözmemekte diretirseler eğer tekrar telekoma geçiş yapmak zorunda olacağım ne yazık ki refsiz bir şekilde turknet e geçişini yaptığım yakınlarımı da alarak yanımakotadan kurtulayım diye geçtim ay boyunca kotalı hıza geçiş yaptım sanki,1,0.9982804
Ayakkabı çok aşırı sert pek hoşuma gitmedi,0,0.9978573
Ürün bekledigim şekilde ve hızlı geldi Içinde 400 tane oyun var ve kalitesi çok iyi Zaman geçirmek isteyenler için önerebilirim ,2,0.9976145
türkiye de bulunan en güvenilir teknoloji marketidirçalışanları samimidir sizi kandırmaya çalışmazlar müşterinin tekrar gelmesi için memnun kalacağı ürünü satmaya çabalarlar yani esnaflık adabını halen koruyan nadir kurumsal firmalardan biridir,1,0.99833125
4 iş günü içerisinde elime ulaştı ki bu da korona virüsle uğraştığımız şu günlerde hızlı sayılır Sadece paketleme biraz daha dikkat edebilirlerdi ama hız ve ucuzluk on numara tebrik ederim,2,0.99754566
Hiç beğenmedim çok dandik geldi,0,0.99893206
bozuk olan ürünü 1 ay içinde bu bozuktur diye teslim ettiğim ve bu bozuk değildir diye geri aldığım aynı zamanda 1 aylık değişim ve iade hakkımı benim götüme sokan firma,1,0.9983253
