sentiment,content,Text_Length,predicted_sentiment,confidence_score
1,doların 18 liraya çıktığı gün bu gamepass de pahalanır diye tırsıp gittim live gold u ultimate e çevirme taktiğiyle 26 aylık gamepass ultimate ı 480 liraya aldım aylığı 185 tl ye geliyor yeni çıkan oyunlardan sadece forza horizon 5 ve halo infinite i steamden alsanız ikisi toplam 600tl ki daha bu 26 ay boyunca neler neler eklenecek sisteme starfield dahil hala bu gamepass in karlılığını sorgulayanlar var garipedit ayrıca başkasıyla kardeşlik yapıp bu fiyatı yarıya da indirebilirsiniz 240tl ye 2 yıl gamepass o da bi seçenek.,529,1,[1.0163483e-03 9.9831665e-01 6.6704775e-04]
2,arkadaşlar taş gibi makina ama saç traşı için uygun deıl  sadece sakal ense kulak tuylerı için tasarlanmış bir makina kargom 2 gün içinde geldi teşekkürler,155,2,[0.0147498  0.00178234 0.9834678 ]
0,ilk dususte beyni gitti,23,0,[9.984523e-01 9.972090e-04 5.505383e-04]
2,Ürünü deneme imkanım olmadı ama dün gece verdiğim siparişin bugün elime geçmiş olması mükemmel ötesi Hepsiburadaya teşekkür ederim,130,2,[0.00189663 0.00100772 0.9970957 ]
1,çagri merkezi ölmüş sanirim gecen hafta 35 mbit internet abonesi oldum bi modem gondericeksiniz aq hala bekliyorum,114,1,[1.0402125e-03 9.9830085e-01 6.5891299e-04]
0,3 senedir kullanıyorum ve buna benzemeyen yeni suurge ariyorum Haliya yapisiyor evet yapistigi icin supuremiyorsunuz zaten sert zrminde gorunurdekileri bile cekmiyor almayin firlatip atmak istiyorum ben,202,0,[9.9834454e-01 9.8093715e-04 6.7460106e-04]
0,hiç iyi bir ürün diyil ben Azerbaycana sipariş etdim ürün arızalı geldi ayakkabının üzerinde kopmayan kley var hiçç hoşlamadım yazık oldu ödediyim paraya,153,0,[9.9905568e-01 5.4115104e-04 4.0318229e-04]
0,Göründüğü gibi ama yükseklik ayarlanan yerin tutulacak yeri yoktu pakette çokta önemli değil,92,0,[0.9898302  0.00668033 0.00348947]
1,3 gün için şehir dışına çıkacağım için modemin de elektriğini kestim yangın şu bu olmasın diye hay kesmez olaydım eve geldik fişi tak internet nerdemh ara internet yok 3 gün oldu halen çözecekler hm arıyorsun telesekreter karşılıyor seni neymiş arıza kontrol edilme sürecinde mh darlamayalım diye böyle iş mi olur yahu okullar açılmış canlı ders şu bu derken her şey internetten yapılıyoredit tam bir hafta sonra internet geldi kullanmadığımız zamanlar için 17tl gibi bir indirim faturaya yansıttılar,500,1,[9.6621097e-04 9.9832278e-01 7.1093126e-04]
1,defalarca alışveriş yapıp hiçbir sorun yaşamadığım firma vaat ettikleri günden bile önce gelen birçok ürünüm oldu ilk alışverişte bok atan arkadaşlara duyurulur,160,1,[8.7049446e-04 9.9836439e-01 7.6516700e-04]
1,gerçekten çileden çıktım 6 gündür net yokmüşteri hizmetleriyle bile görüşemiyoruz arıza vardır düzeltilecektir deniliyor bilgisayar kaydı napsak tt netten başka bir alternatif var mı,182,1,[0.00306128 0.9947454  0.00219329]
0,bu kadar iyi yorum almasına şaştım doğrusu  başlık dendiği gibi kumaş değildi inceden bir kartondu bilsem kendim yaparim karton alıp bu nasıl bir malzeme anlamış değilim,169,0,[9.9881709e-01 7.0152443e-04 4.8144124e-04]
2,Harika bir ürün  tam bir nostalji,33,2,[2.2814090e-03 5.0217169e-04 9.9721634e-01]
0,44 numara almama rağmen biraz ufak geldi,40,0,[9.986419e-01 5.277442e-04 8.303287e-04]
1,teknolojik bir ürün alınmaya karar verildiğinde sadece tavan fiyat öğrenmek için bakılması gereken firma,104,1,[8.946815e-04 9.983550e-01 7.503496e-04]
2,Ürün istediğim gibiydi,22,2,[2.427236e-03 4.794229e-04 9.970933e-01]
